SpinachLambda,SpinachAbs
Wavelength (nm),Abs
512.0084229,0.046073485
510.9876404,0.047030568
510.0044861,0.04784501
508.9832458,0.049054571
507.9996338,0.050025284
507.0158081,0.050922051
505.9939575,0.052195981
505.0097351,0.053555872
503.9873657,0.054946154
503.0027771,0.056637224
502.0179443,0.058321312
500.9949341,0.060673654
500.0097046,0.062665232
498.9862976,0.065526254
498.0006104,0.068497315
497.01474,0.071709633
495.9906921,0.075253211
495.0043945,0.078800648
494.0178528,0.083180636
492.9931946,0.087192953
492.0062866,0.09161032
490.9812012,0.096487686
489.993927,0.101312377
489.0063477,0.107131615
488.0186462,0.112282142
486.9927673,0.117844567
486.0045776,0.124031775
485.0162964,0.130155072
483.9897461,0.136460409
483.0009766,0.142035171
482.0120544,0.148470208
480.9849243,0.154437974
479.9956055,0.160544589
479.0061035,0.16640307
478.0163574,0.17129676
476.9884033,0.17648989
475.998291,0.180523396
475.0079651,0.184436113
474.0174866,0.187407598
472.988678,0.189712256
471.9977722,0.191241741
471.0066833,0.191987142
470.0154419,0.192083523
468.9858398,0.191108957
467.9941711,0.19001998
467.0023499,0.188479811
466.0102844,0.186817408
465.0180664,0.185296968
463.9874878,0.18378374
462.9948425,0.182919368
462.0020752,0.182712406
461.0090942,0.182886273
460.0158691,0.183966726
458.9842834,0.185652599
457.9907532,0.188026294
456.9969482,0.190799758
456.0030212,0.194266349
455.0089111,0.198207423
454.0145874,0.202229008
452.9818726,0.206571519
451.9872131,0.210716784
450.9922791,0.214594498
449.9972839,0.218911305
449.0020142,0.222084656
448.0066223,0.22481367
447.0110168,0.227312416
446.0152283,0.229204655
444.980957,0.230875135
443.9848328,0.232456878
442.9884949,0.233942837
441.9920044,0.235146567
440.9953003,0.236717939
439.9984436,0.238289192
439.0013428,0.240428329
438.0041504,0.243060857
437.0067749,0.246061415
436.0091858,0.249758527
435.0113831,0.254050821
434.0134583,0.257952571
433.0153503,0.261439741
432.0170898,0.263680965
431.0185852,0.265186369
429.9815369,0.265713573
428.9827271,0.265606493
427.9837341,0.265076786
426.9844971,0.264128596
425.985199,0.263017207
424.9856873,0.261281759
423.9860229,0.259504467
422.9861145,0.25713101
421.986084,0.254826516
420.9859009,0.252780736
419.9854736,0.250362843
418.9849243,0.248108774
417.9842224,0.246235803
416.9833374,0.244686186
415.9822388,0.243099377
414.9810181,0.24135232
414.0181274,0.239840969
413.0166016,0.237807646
412.0148621,0.235557765
411.0129089,0.232850701
410.0108948,0.229634017
409.008667,0.225971818
408.0062561,0.221990913
407.0036926,0.217962056
406.0010071,0.2133829
404.9980469,0.209023148
403.9949951,0.205319852
402.9917908,0.201196492
401.9884033,0.197820887
400.9848633,0.19442299
399.9811401,0.190810964
399.0158691,0.187643677
398.0118103,0.184125543
397.0076294,0.181054503
396.0032654,0.177220687
394.9987488,0.174525693
393.9940796,0.171640948
392.9892273,0.168297574
391.9842529,0.166224748
391.0177307,0.163667589
390.0124207,0.160656214
389.006958,0.158286244
388.0013123,0.155778617
386.9955444,0.153962806
385.9895935,0.151630938
384.98349,0.149695456
384.0159302,0.148215264
383.0095215,0.146451116
382.0029602,0.145113066
380.9962463,0.143678352
379.9893494,0.142370835
378.9823303,0.140830457
378.0138855,0.140020564
377.0065308,0.139605463
375.999054,0.138268203
374.9914246,0.136837587
373.9836121,0.135860473
373.0144653,0.134219885
372.0063782,0.132802069
370.9981079,0.131262809
369.9897461,0.129880846
368.9812012,0.127163202
368.0112915,0.126269624
367.0024719,0.124706619
365.9934692,0.122659273
364.984375,0.121104635
364.0138855,0.119453117
363.0044556,0.117614612
361.9948425,0.117552206
360.9851685,0.11583519
360.0141296,0.114828311
359.0041199,0.113170512
357.9939575,0.112859666
356.9836731,0.111934312
356.0120544,0.11108955
355.0014954,0.110384323
353.9907532,0.110044308
353.0187683,0.10943421
352.0077515,0.108813003
350.9966125,0.108189322
349.9852905,0.107873224
